CUST_ID,BALANCE,PURCHASES,CREDIT_LIMIT,TENURE,NUM_PRODUCTS,HAS_CREDIT_CARD,IS_ACTIVE_MEMBER,CASH_ADVANCE,REVOLVING_UTILIZATION
ID_0,1872.7005942368125,1930.8400104868226,22169.95101870914,18,2,0,0,9429.454678407756,0.32302286187055673
ID_1,4753.571532049581,1731.269271533876,6350.847872362636,32,2,1,1,3784.4986951295946,0.07837160096698903
ID_2,3659.9697090570253,963.1541712640143,11052.551136726699,43,2,1,1,8234.213034758293,0.7837583880530913
ID_3,2993.292420985183,3075.6066834972908,20235.13846887673,38,2,1,0,686.1130235048552,0.41533557070242244
ID_4,780.0932022121826,2435.4583864922815,14980.590991209918,11,3,0,0,5537.03314719739,0.8895155564340728
ID_5,779.9726016810132,4341.934862387618,22418.56012041192,18,3,0,1,8317.036764463892,0.15796332737330332
ID_6,290.4180608409973,257.33694436208543,28875.02913546293,18,2,0,1,4186.232445963498,0.31757243859001183
ID_7,4330.880728874676,3254.952845020119,4379.853943740727,18,4,1,0,1434.338357981546,0.2790365774024729
ID_8,3005.575058716044,3838.4495047066493,21577.46377554377,25,2,0,1,2840.9007356194725,0.8651615173479805
ID_9,3540.3628889802276,3821.4841890227044,7679.980513331321,41,3,0,1,4919.076329759957,0.507733540372697
ID_10,102.92247147901223,4441.762438768073,13019.825094819507,42,3,0,1,8434.973459911767,0.1418218600377542
ID_11,4849.549260809971,3672.265339864521,1953.019048059055,50,2,0,1,7485.972718903282,0.3574468313532584
ID_12,4162.213204002109,4646.2693020737115,4941.31408648827,14,1,1,1,835.7553915511196,0.9431825303394372
ID_13,1061.6955533913808,1730.0173391223682,10273.54138241809,22,4,0,0,5461.573441412828,0.5514873061410988
ID_14,909.1248360355031,2565.726142082561,10917.588353351563,40,2,1,0,8723.507867953207,0.036733554399478674
ID_15,917.0225492671691,168.9903500861643,27087.97127740078,23,3,1,1,5771.1023846572,0.05784498568213248
ID_16,1521.2112147976886,134.09217778612694,22512.57436872894,30,4,1,0,649.3755599644812,0.23568071969441629
ID_17,2623.7821581611893,1276.6204402124474,29193.306077424193,20,1,0,1,8231.203142706296,0.6213243995124651
ID_18,2159.725093210579,593.9552659815178,18373.073799721977,28,4,1,0,9067.696975773939,0.24526070305929026
ID_19,1456.1457009902097,1375.0357028851927,8009.698230648221,6,2,1,0,3891.889505695888,0.8501145520833551
ID_20,3059.2644736118973,967.5121431891473,10501.995867727643,46,3,0,0,3101.368754228405,0.6294218654727788
ID_21,697.4693032602091,239.74812170937636,10275.241775467046,43,3,1,1,5433.5063364849175,0.30073059504719934
ID_22,1460.7232426760909,4555.590317389642,10468.335502234297,23,3,1,0,9840.880755795793,0.39393469230981415
ID_23,1831.8092164684585,140.29334380556847,20515.961020242656,6,4,0,0,8374.642566684088,0.37525772206453767
ID_24,2280.3499210851796,3706.8025072517185,16393.429914622073,44,2,0,1,8110.557922709085,0.3141837845757025
ID_25,3925.879806965068,845.524645905631,12177.301164512684,15,2,0,0,1931.4351644227145,0.6298862856812426
ID_26,998.3689107917987,4569.92514779804,5323.603293132782,36,4,0,0,8951.65375431224,0.20167424817355661
ID_27,2571.172192068058,4474.700103990441,1642.0357253222314,43,4,0,1,5559.457329613065,0.2921100778378083
ID_28,2962.0728443102125,3304.115617209361,7346.205650043085,12,1,0,0,9168.78655161106,0.08523642663193942
ID_29,232.25206359998862,3393.947334022965,4116.670715091757,43,3,0,1,6517.106607867478,0.3760366046379965
ID_30,3037.7242595071916,126.16179565147387,23777.905894714942,13,4,1,1,8341.671153252108,0.064384498387836
ID_31,852.6206184364577,4925.87067395665,4262.440776602676,39,3,0,1,1655.2571729816145,0.01790548736236952
ID_32,325.25796492639756,4401.37975752149,22002.61888189825,14,1,0,1,7065.21463599291,0.6459797069786856
ID_33,4744.427686266667,4486.020506077451,12184.102003506396,30,2,1,0,2572.521367991177,0.16245490443408805
ID_34,4828.160165372797,3330.2982315492727,3127.973302569503,32,3,1,1,1689.0219698181386,0.03519769296207853
ID_35,4041.9867405823056,1789.455950407229,24569.17143351599,46,4,0,0,5739.823291165606,0.06833332093825628
ID_36,1523.0688458668535,4478.878380543356,17809.286536861786,12,4,1,1,6027.411138011156,0.19921037388600793
ID_37,488.36057003191934,1528.4329479408425,7837.083873043619,37,1,0,1,4906.178074512023,0.7208810280626937
ID_38,3421.1651325607845,2857.286562376794,26945.75405564737,14,3,1,0,890.4080510029089,0.01186231143944716
ID_39,2200.7624686980066,588.6817644850237,2312.4911022459924,22,2,0,1,2447.4902400252295,0.7265199754537373
ID_40,610.1911742238941,4617.582587650476,6852.768637735124,40,2,1,1,2354.5088809247836,0.5970581506447837
ID_41,2475.884550556351,789.7752430789453,22809.36090636997,53,4,0,1,3137.0206001354363,0.5139092507769671
ID_42,171.94260557609198,1201.9943480789957,21571.959978986786,21,1,1,1,6280.654033308085,0.9092834023255479
ID_43,4546.60201039391,2834.8573748282533,9388.879118009863,7,4,1,0,4379.872695561845,0.8295877436437009
ID_44,1293.8999080000847,3844.0557010436096,2798.7213852307104,48,4,1,1,9683.851216209805,0.4187705158054259
ID_45,3312.61142176991,3134.821399087865,25884.26409452337,36,4,1,0,158.44044684985016,0.006700284496819253
ID_46,1558.5553804470549,1237.4561727207652,10097.231504027175,21,4,0,1,2159.034169831997,0.7105764468147249
ID_47,2600.340105889054,104.62090838470263,6675.689032919691,52,1,0,1,5734.073932599811,0.047726143029518164
ID_48,2733.5513967163984,3810.037843506452,15965.792848468336,38,4,1,0,8793.39492706685,0.2780539236053263
ID_49,924.2722776276352,4927.515896964359,27396.588779190974,26,3,1,0,339.07160661628797,0.49303452978649276
ID_50,4847.923138822793,4068.574289499843,2262.8507574578853,22,4,1,0,8836.110712310283,0.09934123999340927
ID_51,3875.6641168055726,2355.012428967415,23208.318552895744,40,4,1,1,5072.734639437084,0.679271594947485
ID_52,4697.494707820945,4528.459580855622,17601.723610222558,12,2,0,1,7854.833592352067,0.32136903170555375
ID_53,4474.136752138244,2108.2535982799154,13338.024380002691,34,2,0,0,9486.517665934769,0.3616607152381104
ID_54,2989.4998940554256,2672.177012792991,22578.332879046742,16,1,0,1,2154.044084676323,0.64832482013778
ID_55,4609.371175115584,2437.935860238848,29008.90830880734,35,1,0,1,5879.099034289236,0.39824190019261607
ID_56,442.4625102595975,2293.356976061072,7646.98012371804,23,3,0,0,8836.68942311987,0.22456973344705278
ID_57,979.914312095726,3898.434769540138,5165.7735870914685,51,4,0,0,8444.10673920719,0.17675811659623497
ID_58,226.13644455269034,2681.167645620511,27473.570611458214,21,2,1,0,5209.643885120582,0.7240419321958679
ID_59,1626.6516538163216,1651.9138979235588,20399.639246261806,11,3,1,1,9494.922661809156,0.7505849154199018
ID_60,1943.38644844741,1364.9750215265437,13701.594625297013,7,3,1,0,7084.445346146215,0.19570022164808776
ID_61,1356.7451588694796,284.9618531404236,17624.52753766421,48,1,0,0,5241.142892217019,0.3190065375482305
ID_62,4143.687545759647,2957.6562932269253,22622.803250111076,48,2,0,1,579.0224916990616,0.9566081225473033
ID_63,1783.7666334679463,1226.8109354650676,23417.925062465798,15,4,0,0,4873.058538262095,0.9842293489629518
ID_64,1404.6725484369038,825.8562178802772,27676.931243749972,9,1,0,1,4219.006054182119,0.5853078803982652
ID_65,2713.480415791242,3303.7668227556205,13378.440877973057,54,3,1,0,3052.5302685824254,0.7569455551156801
ID_66,704.6211248738132,3437.9253633255894,9508.916390562455,15,3,1,0,9428.914133702156,0.7482532301405918
